"","population","primary_dose","band_number","total.infected","mean.eye.score"
"1","va",0,2275,0,0
"2","va",0,2372,0,0
"3","va",0,2374,0,0
"4","va",0,2380,0,0
"5","va",0,2382,0,0
"6","va",0,2383,0,0
"7","va",0,2385,0,0
"8","va",0,2392,0,0
"9","va",0,2393,0,0
"10","va",0,2395,0,0
"11","va",0,2397,0,0
"12","va",0,2407,0,0
"13","va",0,2415,0,0
"14","va",0,2416,0,0
"15","va",0,2417,0,0
"16","va",0,2418,0,0
"17","va",0,2419,0,0.0833333333333333
"18","va",0,2429,0,0
"19","va",0,2434,0,0.0833333333333333
"20","va",0,2439,0,0
"21","va",0,2450,0,0
"22","va",0,2452,1,0
"23","va",0,2458,0,0
"24","va",0,2460,0,0
"25","va",0,2471,0,0
"26","va",0,2472,0,0
"27","va",0,2475,0,0
"28","va",0,2487,0,0
"29","va",0,2489,0,0
"30","va",0,2490,0,0
"31","va",0,2491,0,0
"32","va",0,2493,0,0
"33","va",0,2497,0,0
"34","va",0,2498,0,0
"35","va",0,2503,0,0
"36","va",0,2511,0,0
"37","va",0,2512,0,0
"38","va",0,2517,0,0
"39","va",0,2537,0,0
"40","va",0,2538,0,0
"41","va",0,2545,0,0
"42","va",0,2546,0,0
"43","va",0,2550,0,0
"44","va",0,2555,0,0
"45","va",0,2558,0,0
"46","va",0,2559,0,0
"47","va",0,2562,0,0
"48","va",0,2563,0,0
"49","va",0,2565,0,0
"50","va",0,2569,0,0
"51","va",750,2282,1,0.0833333333333333
"52","va",750,2321,0,0
"53","va",750,2375,1,1.08333333333333
"54","va",750,2377,0,0
"55","va",750,2378,0,0
"56","va",750,2381,0,0
"57","va",750,2389,0,0
"58","va",750,2390,0,0
"59","va",750,2391,1,0.166666666666667
"60","va",750,2394,0,0
"61","va",750,2398,0,0
"62","va",750,2399,0,0
"63","va",750,2411,0,0
"64","va",750,2412,0,0
"65","va",750,2413,1,0.666666666666667
"66","va",750,2426,1,0.0833333333333333
"67","va",750,2427,1,0.333333333333333
"68","va",750,2433,1,0
"69","va",750,2442,1,0
"70","va",750,2447,1,0.25
"71","va",750,2453,1,0.333333333333333
"72","va",750,2454,1,0
"73","va",750,2455,1,0.333333333333333
"74","va",750,2459,0,0
"75","va",750,2462,1,0
"76","va",750,2465,1,0.0833333333333333
"77","va",750,2473,1,0.166666666666667
"78","va",750,2474,0,0
"79","va",750,2485,0,0
"80","va",750,2495,0,0
"81","va",750,2496,1,0.166666666666667
"82","va",750,2499,0,0
"83","va",750,2502,1,0.0833333333333333
"84","va",750,2513,0,0
"85","va",750,2515,0,0.25
"86","va",750,2516,0,0
"87","va",750,2519,0,0
"88","va",750,2521,1,0.5
"89","va",750,2522,0,0
"90","va",750,2527,0,0
"91","va",750,2535,0,0
"92","va",750,2539,1,0
"93","va",750,2540,1,0.75
"94","va",750,2541,1,0.25
"95","va",750,2542,0,0
"96","va",750,2543,1,0.166666666666667
"97","va",750,2549,0,0
"98","va",750,2556,0,0
"99","va",750,2564,0,0
"100","va",750,2567,1,0.0833333333333333
"101","va",30000,2280,1,0.25
"102","va",30000,2299,1,0
"103","va",30000,2373,1,0.0833333333333333
"104","va",30000,2379,1,0.75
"105","va",30000,2386,1,0.25
"106","va",30000,2387,1,0.166666666666667
"107","va",30000,2388,1,0.416666666666667
"108","va",30000,2396,1,1
"109","va",30000,2400,1,0.75
"110","va",30000,2403,1,0.166666666666667
"111","va",30000,2406,1,0.166666666666667
"112","va",30000,2408,1,0.5
"113","va",30000,2410,1,0.25
"114","va",30000,2428,1,0.583333333333333
"115","va",30000,2432,1,0.666666666666667
"116","va",30000,2435,1,0.1
"117","va",30000,2441,1,0.583333333333333
"118","va",30000,2443,1,0.0833333333333333
"119","va",30000,2445,1,2.83333333333333
"120","va",30000,2446,1,0.25
"121","va",30000,2449,1,2.16666666666667
"122","va",30000,2451,0,0.666666666666667
"123","va",30000,2461,1,0.583333333333333
"124","va",30000,2464,1,0.285714285714286
"125","va",30000,2466,1,0.666666666666667
"126","va",30000,2467,1,0.166666666666667
"127","va",30000,2470,0,0
"128","va",30000,2476,1,0.166666666666667
"129","va",30000,2477,1,0.583333333333333
"130","va",30000,2478,1,0.25
"131","va",30000,2480,1,0.666666666666667
"132","va",30000,2483,1,1.66666666666667
"133","va",30000,2486,1,2.66666666666667
"134","va",30000,2492,1,0.166666666666667
"135","va",30000,2504,1,1
"136","va",30000,2506,1,0.25
"137","va",30000,2518,1,1
"138","va",30000,2524,1,0.333333333333333
"139","va",30000,2525,1,0.833333333333333
"140","va",30000,2526,1,1.66666666666667
"141","va",30000,2530,1,0.0833333333333333
"142","va",30000,2533,1,0.666666666666667
"143","va",30000,2536,1,0.25
"144","va",30000,2544,1,1.5
"145","va",30000,2547,1,0.916666666666667
"146","va",30000,2553,1,0.166666666666667
"147","va",30000,2554,1,1.58333333333333
"148","va",30000,2560,1,0.0833333333333333
"149","va",30000,2561,1,0.166666666666667
"150","va",30000,2566,1,0.166666666666667
