"","population","primary_dose","secondary_dose","band_number","total.infected","mean.eye.score"
"1","va",0,0,2487,0,0
"2","va",0,0,2562,0,0
"3","va",0,0,2569,0,0
"4","va",0,30,2372,0,0
"5","va",0,30,2380,0,0
"6","va",0,30,2383,0,0
"7","va",0,30,2395,1,0.25
"8","va",0,30,2415,0,0
"9","va",0,30,2417,0,0
"10","va",0,30,2419,0,0
"11","va",0,30,2429,0,0
"12","va",0,30,2471,0,0
"13","va",0,30,2537,0,0
"14","va",0,30,2538,0,0
"15","va",0,30,2545,0,0
"16","va",0,100,2275,0,0
"17","va",0,100,2439,0,0
"18","va",0,100,2450,1,0.5
"19","va",0,100,2452,0,0
"20","va",0,100,2458,0,0
"21","va",0,100,2472,0,0
"22","va",0,100,2489,0,0
"23","va",0,100,2490,0,0
"24","va",0,100,2491,0,0
"25","va",0,100,2511,0,0
"26","va",0,100,2555,0,0
"27","va",0,100,2558,0,0
"28","va",0,300,2374,0,0
"29","va",0,300,2382,1,0.125
"30","va",0,300,2397,0,0
"31","va",0,300,2416,0,0
"32","va",0,300,2434,0,0
"33","va",0,300,2475,0,0
"34","va",0,300,2493,0,0
"35","va",0,300,2498,0,0
"36","va",0,300,2503,0,0
"37","va",0,300,2550,1,0.375
"38","va",0,300,2563,0,0
"39","va",0,7000,2385,1,0.75
"40","va",0,7000,2392,1,1
"41","va",0,7000,2393,1,2.375
"42","va",0,7000,2407,1,1
"43","va",0,7000,2418,1,1.25
"44","va",0,7000,2460,1,2.5
"45","va",0,7000,2497,1,1.375
"46","va",0,7000,2512,1,0.125
"47","va",0,7000,2517,1,1.625
"48","va",0,7000,2546,1,0.5
"49","va",0,7000,2559,1,3.25
"50","va",0,7000,2565,1,1.25
"51","va",750,0,2378,0,0
"52","va",750,0,2413,0,0
"53","va",750,0,2513,0,0
"54","va",750,0,2527,0,0
"55","va",750,30,2394,0,0
"56","va",750,30,2426,0,0
"57","va",750,30,2433,0,0
"58","va",750,30,2442,0,0
"59","va",750,30,2459,0,0
"60","va",750,30,2462,0,0
"61","va",750,30,2473,0,0
"62","va",750,30,2521,0,0
"63","va",750,30,2535,0,0
"64","va",750,30,2556,0,0
"65","va",750,30,2567,0,0
"66","va",750,100,2282,0,0
"67","va",750,100,2321,0,0
"68","va",750,100,2377,0,0
"69","va",750,100,2389,0,0
"70","va",750,100,2454,0,0
"71","va",750,100,2455,0,0
"72","va",750,100,2502,0,0
"73","va",750,100,2516,0,0
"74","va",750,100,2519,0,0
"75","va",750,100,2522,0,0
"76","va",750,100,2543,0,0
"77","va",750,100,2549,1,0.625
"78","va",750,300,2390,0,0
"79","va",750,300,2398,0,0
"80","va",750,300,2411,0,0
"81","va",750,300,2412,0,0
"82","va",750,300,2427,0,0
"83","va",750,300,2465,0,0
"84","va",750,300,2474,1,0
"85","va",750,300,2495,0,0
"86","va",750,300,2496,0,0
"87","va",750,300,2515,1,0
"88","va",750,300,2539,0,0
"89","va",750,7000,2375,0,0
"90","va",750,7000,2381,1,0.375
"91","va",750,7000,2391,1,0
"92","va",750,7000,2399,1,1.125
"93","va",750,7000,2447,0,0
"94","va",750,7000,2453,0,0.625
"95","va",750,7000,2485,1,1.625
"96","va",750,7000,2499,1,0.25
"97","va",750,7000,2540,0,0
"98","va",750,7000,2541,0,0
"99","va",750,7000,2542,1,0.625
"100","va",750,7000,2564,0,0
"101","va",30000,0,2299,0,0
"102","va",30000,0,2386,0,0
"103","va",30000,0,2461,0,0
"104","va",30000,0,2477,0,0
"105","va",30000,0,2533,0,0
"106","va",30000,0,2536,0,0
"107","va",30000,30,2410,0,0
"108","va",30000,30,2441,0,0
"109","va",30000,30,2451,0,0
"110","va",30000,30,2470,0,0
"111","va",30000,30,2518,0,0
"112","va",30000,30,2526,0,0
"113","va",30000,30,2530,0,0
"114","va",30000,30,2544,0,0
"115","va",30000,30,2553,0,0
"116","va",30000,30,2554,0,0
"117","va",30000,30,2561,0,0
"118","va",30000,100,2280,0,0
"119","va",30000,100,2373,0,0
"120","va",30000,100,2387,0,0
"121","va",30000,100,2396,0,0
"122","va",30000,100,2435,0,0
"123","va",30000,100,2446,0,0
"124","va",30000,100,2476,0,0
"125","va",30000,100,2478,0,0
"126","va",30000,100,2483,0,0
"127","va",30000,100,2504,1,0
"128","va",30000,100,2524,0,0
"129","va",30000,100,2560,0,0
"130","va",30000,300,2388,0,0
"131","va",30000,300,2400,0,0
"132","va",30000,300,2403,0,0
"133","va",30000,300,2428,0,0
"134","va",30000,300,2432,0,0
"135","va",30000,300,2443,0,0
"136","va",30000,300,2464,0,0
"137","va",30000,300,2466,0,0
"138","va",30000,300,2480,0,0
"139","va",30000,300,2525,1,0.125
"140","va",30000,300,2547,0,0
"141","va",30000,7000,2379,0,0
"142","va",30000,7000,2406,0,0
"143","va",30000,7000,2408,0,0
"144","va",30000,7000,2445,1,0
"145","va",30000,7000,2449,0,0.125
"146","va",30000,7000,2467,0,0
"147","va",30000,7000,2486,0,0
"148","va",30000,7000,2492,0,0
"149","va",30000,7000,2506,0,0
"150","va",30000,7000,2566,1,0
